Measure;Time;val
Ongoing treatment periods primary health care wards;2020-09-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-18;5
Ongoing intensive care treatment periods;2020-09-18;1
Ongoing treatment periods at specialised medical care wards;2020-09-19;
Ongoing treatment periods primary health care wards;2020-09-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-19;5
Ongoing intensive care treatment periods;2020-09-19;1
Ongoing treatment periods at specialised medical care wards;2020-09-20;
Ongoing treatment periods primary health care wards;2020-09-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-20;5
Ongoing intensive care treatment periods;2020-09-20;1
Ongoing treatment periods at specialised medical care wards;2020-09-21;
Ongoing treatment periods primary health care wards;2020-09-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-21;4
Ongoing intensive care treatment periods;2020-09-21;1
Ongoing treatment periods at specialised medical care wards;2020-09-22;
Ongoing treatment periods primary health care wards;2020-09-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-22;4
Ongoing intensive care treatment periods;2020-09-22;1
Ongoing treatment periods at specialised medical care wards;2020-09-23;
Ongoing treatment periods primary health care wards;2020-09-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-23;6
Ongoing intensive care treatment periods;2020-09-23;3
Ongoing treatment periods at specialised medical care wards;2020-09-24;
Ongoing treatment periods primary health care wards;2020-09-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-24;6
Ongoing intensive care treatment periods;2020-09-24;3
Ongoing treatment periods at specialised medical care wards;2020-09-25;
Ongoing treatment periods primary health care wards;2020-09-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-25;6
Ongoing intensive care treatment periods;2020-09-25;1
Ongoing treatment periods at specialised medical care wards;2020-09-26;
Ongoing treatment periods primary health care wards;2020-09-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-26;6
Ongoing intensive care treatment periods;2020-09-26;1
Ongoing treatment periods at specialised medical care wards;2020-09-27;
Ongoing treatment periods primary health care wards;2020-09-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-27;6
Ongoing intensive care treatment periods;2020-09-27;1
Ongoing treatment periods at specialised medical care wards;2020-09-28;
Ongoing treatment periods primary health care wards;2020-09-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-28;4
Ongoing intensive care treatment periods;2020-09-28;3
Ongoing treatment periods at specialised medical care wards;2020-09-29;
Ongoing treatment periods primary health care wards;2020-09-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-29;4
Ongoing intensive care treatment periods;2020-09-29;3
Ongoing treatment periods at specialised medical care wards;2020-09-30;
Ongoing treatment periods primary health care wards;2020-09-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-30;5
Ongoing intensive care treatment periods;2020-09-30;2
Ongoing treatment periods at specialised medical care wards;2020-10-01;
Ongoing treatment periods primary health care wards;2020-10-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-01;5
Ongoing intensive care treatment periods;2020-10-01;2
Ongoing treatment periods at specialised medical care wards;2020-10-02;
Ongoing treatment periods primary health care wards;2020-10-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-02;6
Ongoing intensive care treatment periods;2020-10-02;2
Ongoing treatment periods at specialised medical care wards;2020-10-03;
Ongoing treatment periods primary health care wards;2020-10-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-03;6
Ongoing intensive care treatment periods;2020-10-03;2
Ongoing treatment periods at specialised medical care wards;2020-10-04;
Ongoing treatment periods primary health care wards;2020-10-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-04;6
Ongoing intensive care treatment periods;2020-10-04;2
Ongoing treatment periods at specialised medical care wards;2020-10-05;
Ongoing treatment periods primary health care wards;2020-10-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-05;10
Ongoing intensive care treatment periods;2020-10-05;2
Ongoing treatment periods at specialised medical care wards;2020-10-06;
Ongoing treatment periods primary health care wards;2020-10-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-06;10
Ongoing intensive care treatment periods;2020-10-06;2
Ongoing treatment periods at specialised medical care wards;2020-10-07;
Ongoing treatment periods primary health care wards;2020-10-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-07;13
Ongoing intensive care treatment periods;2020-10-07;2
Ongoing treatment periods at specialised medical care wards;2020-10-08;
Ongoing treatment periods primary health care wards;2020-10-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-08;13
Ongoing intensive care treatment periods;2020-10-08;2
Ongoing treatment periods at specialised medical care wards;2020-10-09;
Ongoing treatment periods primary health care wards;2020-10-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-09;14
Ongoing intensive care treatment periods;2020-10-09;3
Ongoing treatment periods at specialised medical care wards;2020-10-10;
Ongoing treatment periods primary health care wards;2020-10-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-10;14
Ongoing intensive care treatment periods;2020-10-10;3
Ongoing treatment periods at specialised medical care wards;2020-10-11;
Ongoing treatment periods primary health care wards;2020-10-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-11;14
Ongoing intensive care treatment periods;2020-10-11;3
Ongoing treatment periods at specialised medical care wards;2020-10-12;
Ongoing treatment periods primary health care wards;2020-10-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-12;12
Ongoing intensive care treatment periods;2020-10-12;5
Ongoing treatment periods at specialised medical care wards;2020-10-13;
Ongoing treatment periods primary health care wards;2020-10-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-13;12
Ongoing intensive care treatment periods;2020-10-13;5
Ongoing treatment periods at specialised medical care wards;2020-10-14;
Ongoing treatment periods primary health care wards;2020-10-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-14;15
Ongoing intensive care treatment periods;2020-10-14;4
Ongoing treatment periods at specialised medical care wards;2020-10-15;
Ongoing treatment periods primary health care wards;2020-10-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-15;15
Ongoing intensive care treatment periods;2020-10-15;4
Ongoing treatment periods at specialised medical care wards;2020-10-16;
Ongoing treatment periods primary health care wards;2020-10-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-16;18
Ongoing intensive care treatment periods;2020-10-16;3
Ongoing treatment periods at specialised medical care wards;2020-10-17;
Ongoing treatment periods primary health care wards;2020-10-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-17;18
Ongoing intensive care treatment periods;2020-10-17;3
Ongoing treatment periods at specialised medical care wards;2020-10-18;
Ongoing treatment periods primary health care wards;2020-10-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-18;18
Ongoing intensive care treatment periods;2020-10-18;3
Ongoing treatment periods at specialised medical care wards;2020-10-19;
Ongoing treatment periods primary health care wards;2020-10-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-19;23
Ongoing intensive care treatment periods;2020-10-19;4
Ongoing treatment periods at specialised medical care wards;2020-10-20;
Ongoing treatment periods primary health care wards;2020-10-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-20;23
Ongoing intensive care treatment periods;2020-10-20;4
Ongoing treatment periods at specialised medical care wards;2020-10-21;
Ongoing treatment periods primary health care wards;2020-10-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-21;24
Ongoing intensive care treatment periods;2020-10-21;4
Ongoing treatment periods at specialised medical care wards;2020-10-22;
Ongoing treatment periods primary health care wards;2020-10-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-22;24
Ongoing intensive care treatment periods;2020-10-22;4
Ongoing treatment periods at specialised medical care wards;2020-10-23;
Ongoing treatment periods primary health care wards;2020-10-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-23;28
Ongoing intensive care treatment periods;2020-10-23;6
Ongoing treatment periods at specialised medical care wards;2020-10-24;
Ongoing treatment periods primary health care wards;2020-10-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-24;28
Ongoing intensive care treatment periods;2020-10-24;6
Ongoing treatment periods at specialised medical care wards;2020-10-25;
Ongoing treatment periods primary health care wards;2020-10-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-25;28
Ongoing intensive care treatment periods;2020-10-25;6
Ongoing treatment periods at specialised medical care wards;2020-10-26;
Ongoing treatment periods primary health care wards;2020-10-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-26;28
Ongoing intensive care treatment periods;2020-10-26;6
Ongoing treatment periods at specialised medical care wards;2020-10-27;
Ongoing treatment periods primary health care wards;2020-10-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-27;35
Ongoing intensive care treatment periods;2020-10-27;3
Ongoing treatment periods at specialised medical care wards;2020-10-28;
Ongoing treatment periods primary health care wards;2020-10-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-28;32
Ongoing intensive care treatment periods;2020-10-28;2
Ongoing treatment periods at specialised medical care wards;2020-10-29;
Ongoing treatment periods primary health care wards;2020-10-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-29;32
Ongoing intensive care treatment periods;2020-10-29;2
Ongoing treatment periods at specialised medical care wards;2020-10-30;
Ongoing treatment periods primary health care wards;2020-10-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-30;25
Ongoing intensive care treatment periods;2020-10-30;4
Ongoing treatment periods at specialised medical care wards;2020-10-31;
Ongoing treatment periods primary health care wards;2020-10-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-31;25
Ongoing intensive care treatment periods;2020-10-31;4
Ongoing treatment periods at specialised medical care wards;2020-11-01;
Ongoing treatment periods primary health care wards;2020-11-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-01;25
Ongoing intensive care treatment periods;2020-11-01;4
Ongoing treatment periods at specialised medical care wards;2020-11-02;
Ongoing treatment periods primary health care wards;2020-11-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-02;33
Ongoing intensive care treatment periods;2020-11-02;6
Ongoing treatment periods at specialised medical care wards;2020-11-03;
Ongoing treatment periods primary health care wards;2020-11-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-03;33
Ongoing intensive care treatment periods;2020-11-03;6
Ongoing treatment periods at specialised medical care wards;2020-11-04;
Ongoing treatment periods primary health care wards;2020-11-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-04;29
Ongoing intensive care treatment periods;2020-11-04;6
Ongoing treatment periods at specialised medical care wards;2020-11-05;
Ongoing treatment periods primary health care wards;2020-11-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-05;29
Ongoing intensive care treatment periods;2020-11-05;6
Ongoing treatment periods at specialised medical care wards;2020-11-06;
Ongoing treatment periods primary health care wards;2020-11-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-06;29
Ongoing intensive care treatment periods;2020-11-06;5
Ongoing treatment periods at specialised medical care wards;2020-11-07;
Ongoing treatment periods primary health care wards;2020-11-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-07;29
Ongoing intensive care treatment periods;2020-11-07;5
Ongoing treatment periods at specialised medical care wards;2020-11-08;
Ongoing treatment periods primary health care wards;2020-11-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-08;29
Ongoing intensive care treatment periods;2020-11-08;5
Ongoing treatment periods at specialised medical care wards;2020-11-09;
Ongoing treatment periods primary health care wards;2020-11-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-09;39
Ongoing intensive care treatment periods;2020-11-09;6
Ongoing treatment periods at specialised medical care wards;2020-11-10;
Ongoing treatment periods primary health care wards;2020-11-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-10;39
Ongoing intensive care treatment periods;2020-11-10;6
Ongoing treatment periods at specialised medical care wards;2020-11-11;
Ongoing treatment periods primary health care wards;2020-11-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-11;40
Ongoing intensive care treatment periods;2020-11-11;8
Ongoing treatment periods at specialised medical care wards;2020-11-12;
Ongoing treatment periods primary health care wards;2020-11-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-12;40
Ongoing intensive care treatment periods;2020-11-12;8
Ongoing treatment periods at specialised medical care wards;2020-11-13;
Ongoing treatment periods primary health care wards;2020-11-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-13;39
Ongoing intensive care treatment periods;2020-11-13;7
Ongoing treatment periods at specialised medical care wards;2020-11-14;
Ongoing treatment periods primary health care wards;2020-11-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-14;37
Ongoing intensive care treatment periods;2020-11-14;7
Ongoing treatment periods at specialised medical care wards;2020-11-15;
Ongoing treatment periods primary health care wards;2020-11-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-15;37
Ongoing intensive care treatment periods;2020-11-15;7
Ongoing treatment periods at specialised medical care wards;2020-11-16;
Ongoing treatment periods primary health care wards;2020-11-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-16;46
Ongoing intensive care treatment periods;2020-11-16;4
Ongoing treatment periods at specialised medical care wards;2020-11-17;
Ongoing treatment periods primary health care wards;2020-11-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-17;46
Ongoing intensive care treatment periods;2020-11-17;4
Ongoing treatment periods at specialised medical care wards;2020-11-18;
Ongoing treatment periods primary health care wards;2020-11-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-18;49
Ongoing intensive care treatment periods;2020-11-18;5
Ongoing treatment periods at specialised medical care wards;2020-11-19;
Ongoing treatment periods primary health care wards;2020-11-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-19;49
Ongoing intensive care treatment periods;2020-11-19;5
Ongoing treatment periods at specialised medical care wards;2020-11-20;
Ongoing treatment periods primary health care wards;2020-11-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-20;57
Ongoing intensive care treatment periods;2020-11-20;4
Ongoing treatment periods at specialised medical care wards;2020-11-21;
Ongoing treatment periods primary health care wards;2020-11-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-21;57
Ongoing intensive care treatment periods;2020-11-21;4
Ongoing treatment periods at specialised medical care wards;2020-11-22;
Ongoing treatment periods primary health care wards;2020-11-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-22;57
Ongoing intensive care treatment periods;2020-11-22;4
Ongoing treatment periods at specialised medical care wards;2020-11-23;
Ongoing treatment periods primary health care wards;2020-11-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-23;68
Ongoing intensive care treatment periods;2020-11-23;8
Ongoing treatment periods at specialised medical care wards;2020-11-24;
Ongoing treatment periods primary health care wards;2020-11-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-24;67
Ongoing intensive care treatment periods;2020-11-24;8
Ongoing treatment periods at specialised medical care wards;2020-11-25;
Ongoing treatment periods primary health care wards;2020-11-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-25;69
Ongoing intensive care treatment periods;2020-11-25;11
Ongoing treatment periods at specialised medical care wards;2020-11-26;
Ongoing treatment periods primary health care wards;2020-11-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-26;70
Ongoing intensive care treatment periods;2020-11-26;11
Ongoing treatment periods at specialised medical care wards;2020-11-27;
Ongoing treatment periods primary health care wards;2020-11-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-27;84
Ongoing intensive care treatment periods;2020-11-27;10
Ongoing treatment periods at specialised medical care wards;2020-11-28;
Ongoing treatment periods primary health care wards;2020-11-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-28;84
Ongoing intensive care treatment periods;2020-11-28;10
Ongoing treatment periods at specialised medical care wards;2020-11-29;
Ongoing treatment periods primary health care wards;2020-11-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-29;84
Ongoing intensive care treatment periods;2020-11-29;10
Ongoing treatment periods at specialised medical care wards;2020-11-30;
Ongoing treatment periods primary health care wards;2020-11-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-30;94
Ongoing intensive care treatment periods;2020-11-30;8
Ongoing treatment periods at specialised medical care wards;2020-12-01;
Ongoing treatment periods primary health care wards;2020-12-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-01;95
Ongoing intensive care treatment periods;2020-12-01;8
Ongoing treatment periods at specialised medical care wards;2020-12-02;
Ongoing treatment periods primary health care wards;2020-12-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-02;98
Ongoing intensive care treatment periods;2020-12-02;11
Ongoing treatment periods at specialised medical care wards;2020-12-03;
Ongoing treatment periods primary health care wards;2020-12-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-03;100
Ongoing intensive care treatment periods;2020-12-03;11
Ongoing treatment periods at specialised medical care wards;2020-12-04;
Ongoing treatment periods primary health care wards;2020-12-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-04;66
Ongoing intensive care treatment periods;2020-12-04;10
Ongoing treatment periods at specialised medical care wards;2020-12-05;
Ongoing treatment periods primary health care wards;2020-12-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-05;66
Ongoing intensive care treatment periods;2020-12-05;10
Ongoing treatment periods at specialised medical care wards;2020-12-06;
Ongoing treatment periods primary health care wards;2020-12-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-06;66
Ongoing intensive care treatment periods;2020-12-06;10
Ongoing treatment periods at specialised medical care wards;2020-12-07;67
Ongoing treatment periods primary health care wards;2020-12-07;40
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-07;
Ongoing intensive care treatment periods;2020-12-07;19
Ongoing treatment periods at specialised medical care wards;2020-12-08;71
Ongoing treatment periods primary health care wards;2020-12-08;41
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-08;
Ongoing intensive care treatment periods;2020-12-08;19
Ongoing treatment periods at specialised medical care wards;2020-12-09;64
Ongoing treatment periods primary health care wards;2020-12-09;34
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-09;
Ongoing intensive care treatment periods;2020-12-09;19
Ongoing treatment periods at specialised medical care wards;2020-12-10;77
Ongoing treatment periods primary health care wards;2020-12-10;31
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-10;
Ongoing intensive care treatment periods;2020-12-10;16
Ongoing treatment periods at specialised medical care wards;2020-12-11;67
Ongoing treatment periods primary health care wards;2020-12-11;33
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-11;
Ongoing intensive care treatment periods;2020-12-11;15
Ongoing treatment periods at specialised medical care wards;2020-12-12;67
Ongoing treatment periods primary health care wards;2020-12-12;33
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-12;
Ongoing intensive care treatment periods;2020-12-12;15
Ongoing treatment periods at specialised medical care wards;2020-12-13;67
Ongoing treatment periods primary health care wards;2020-12-13;33
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-13;
Ongoing intensive care treatment periods;2020-12-13;15
Ongoing treatment periods at specialised medical care wards;2020-12-14;61
Ongoing treatment periods primary health care wards;2020-12-14;48
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-14;
Ongoing intensive care treatment periods;2020-12-14;14
Ongoing treatment periods at specialised medical care wards;2020-12-15;60
Ongoing treatment periods primary health care wards;2020-12-15;45
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-15;
Ongoing intensive care treatment periods;2020-12-15;15
Ongoing treatment periods at specialised medical care wards;2020-12-16;59
Ongoing treatment periods primary health care wards;2020-12-16;42
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-16;
Ongoing intensive care treatment periods;2020-12-16;15
Ongoing treatment periods at specialised medical care wards;2020-12-17;58
Ongoing treatment periods primary health care wards;2020-12-17;43
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-17;
Ongoing intensive care treatment periods;2020-12-17;12
Ongoing treatment periods at specialised medical care wards;2020-12-18;49
Ongoing treatment periods primary health care wards;2020-12-18;46
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-18;
Ongoing intensive care treatment periods;2020-12-18;13
Ongoing treatment periods at specialised medical care wards;2020-12-19;49
Ongoing treatment periods primary health care wards;2020-12-19;46
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-19;
Ongoing intensive care treatment periods;2020-12-19;13
Ongoing treatment periods at specialised medical care wards;2020-12-20;50
Ongoing treatment periods primary health care wards;2020-12-20;46
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-20;
Ongoing intensive care treatment periods;2020-12-20;12
Ongoing treatment periods at specialised medical care wards;2020-12-21;52
Ongoing treatment periods primary health care wards;2020-12-21;55
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-21;
Ongoing intensive care treatment periods;2020-12-21;15
Ongoing treatment periods at specialised medical care wards;2020-12-22;52
Ongoing treatment periods primary health care wards;2020-12-22;47
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-22;
Ongoing intensive care treatment periods;2020-12-22;14
Ongoing treatment periods at specialised medical care wards;2020-12-23;47
Ongoing treatment periods primary health care wards;2020-12-23;50
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-23;
Ongoing intensive care treatment periods;2020-12-23;13
Ongoing treatment periods at specialised medical care wards;2020-12-24;49
Ongoing treatment periods primary health care wards;2020-12-24;50
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-24;
Ongoing intensive care treatment periods;2020-12-24;12
Ongoing treatment periods at specialised medical care wards;2020-12-25;48
Ongoing treatment periods primary health care wards;2020-12-25;49
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-25;
Ongoing intensive care treatment periods;2020-12-25;12
Ongoing treatment periods at specialised medical care wards;2020-12-26;48
Ongoing treatment periods primary health care wards;2020-12-26;49
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-26;
Ongoing intensive care treatment periods;2020-12-26;12
Ongoing treatment periods at specialised medical care wards;2020-12-27;48
Ongoing treatment periods primary health care wards;2020-12-27;49
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-27;
Ongoing intensive care treatment periods;2020-12-27;12
Ongoing treatment periods at specialised medical care wards;2020-12-28;48
Ongoing treatment periods primary health care wards;2020-12-28;47
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-28;
Ongoing intensive care treatment periods;2020-12-28;17
Ongoing treatment periods at specialised medical care wards;2020-12-29;39
Ongoing treatment periods primary health care wards;2020-12-29;50
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-29;
Ongoing intensive care treatment periods;2020-12-29;18
Ongoing treatment periods at specialised medical care wards;2020-12-30;40
Ongoing treatment periods primary health care wards;2020-12-30;49
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-30;
Ongoing intensive care treatment periods;2020-12-30;18
Ongoing treatment periods at specialised medical care wards;2020-12-31;37
Ongoing treatment periods primary health care wards;2020-12-31;46
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-31;
Ongoing intensive care treatment periods;2020-12-31;17
Ongoing treatment periods at specialised medical care wards;2021-01-01;38
Ongoing treatment periods primary health care wards;2021-01-01;45
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-01;
Ongoing intensive care treatment periods;2021-01-01;16
Ongoing treatment periods at specialised medical care wards;2021-01-02;38
Ongoing treatment periods primary health care wards;2021-01-02;45
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-02;
Ongoing intensive care treatment periods;2021-01-02;16
Ongoing treatment periods at specialised medical care wards;2021-01-03;38
Ongoing treatment periods primary health care wards;2021-01-03;45
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-03;
Ongoing intensive care treatment periods;2021-01-03;16
Ongoing treatment periods at specialised medical care wards;2021-01-04;47
Ongoing treatment periods primary health care wards;2021-01-04;45
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-04;
Ongoing intensive care treatment periods;2021-01-04;15
Ongoing treatment periods at specialised medical care wards;2021-01-05;45
Ongoing treatment periods primary health care wards;2021-01-05;37
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-05;
Ongoing intensive care treatment periods;2021-01-05;16
Ongoing treatment periods at specialised medical care wards;2021-01-06;45
Ongoing treatment periods primary health care wards;2021-01-06;37
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-06;
Ongoing intensive care treatment periods;2021-01-06;16
Ongoing treatment periods at specialised medical care wards;2021-01-07;46
Ongoing treatment periods primary health care wards;2021-01-07;35
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-07;
Ongoing intensive care treatment periods;2021-01-07;18
Ongoing treatment periods at specialised medical care wards;2021-01-08;44
Ongoing treatment periods primary health care wards;2021-01-08;36
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-08;
Ongoing intensive care treatment periods;2021-01-08;20
Ongoing treatment periods at specialised medical care wards;2021-01-09;45
Ongoing treatment periods primary health care wards;2021-01-09;36
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-09;
Ongoing intensive care treatment periods;2021-01-09;20
Ongoing treatment periods at specialised medical care wards;2021-01-10;45
Ongoing treatment periods primary health care wards;2021-01-10;36
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-10;
Ongoing intensive care treatment periods;2021-01-10;20
Ongoing treatment periods at specialised medical care wards;2021-01-11;36
Ongoing treatment periods primary health care wards;2021-01-11;34
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-11;
Ongoing intensive care treatment periods;2021-01-11;16
Ongoing treatment periods at specialised medical care wards;2021-01-12;40
Ongoing treatment periods primary health care wards;2021-01-12;29
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-12;
Ongoing intensive care treatment periods;2021-01-12;17
Ongoing treatment periods at specialised medical care wards;2021-01-13;38
Ongoing treatment periods primary health care wards;2021-01-13;33
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-13;
Ongoing intensive care treatment periods;2021-01-13;15
Ongoing treatment periods at specialised medical care wards;2021-01-14;39
Ongoing treatment periods primary health care wards;2021-01-14;33
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-14;
Ongoing intensive care treatment periods;2021-01-14;17
Ongoing treatment periods at specialised medical care wards;2021-01-15;31
Ongoing treatment periods primary health care wards;2021-01-15;36
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-15;
Ongoing intensive care treatment periods;2021-01-15;17
Ongoing treatment periods at specialised medical care wards;2021-01-16;31
Ongoing treatment periods primary health care wards;2021-01-16;36
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-16;
Ongoing intensive care treatment periods;2021-01-16;17
Ongoing treatment periods at specialised medical care wards;2021-01-17;31
Ongoing treatment periods primary health care wards;2021-01-17;36
