Measure;Time;val
Ongoing treatment periods primary health care wards;2020-09-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-22;17
Ongoing intensive care treatment periods;2020-09-22;2
Ongoing treatment periods at specialised medical care wards;2020-09-23;
Ongoing treatment periods primary health care wards;2020-09-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-23;18
Ongoing intensive care treatment periods;2020-09-23;4
Ongoing treatment periods at specialised medical care wards;2020-09-24;
Ongoing treatment periods primary health care wards;2020-09-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-24;18
Ongoing intensive care treatment periods;2020-09-24;4
Ongoing treatment periods at specialised medical care wards;2020-09-25;
Ongoing treatment periods primary health care wards;2020-09-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-25;19
Ongoing intensive care treatment periods;2020-09-25;2
Ongoing treatment periods at specialised medical care wards;2020-09-26;
Ongoing treatment periods primary health care wards;2020-09-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-26;19
Ongoing intensive care treatment periods;2020-09-26;2
Ongoing treatment periods at specialised medical care wards;2020-09-27;
Ongoing treatment periods primary health care wards;2020-09-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-27;19
Ongoing intensive care treatment periods;2020-09-27;2
Ongoing treatment periods at specialised medical care wards;2020-09-28;
Ongoing treatment periods primary health care wards;2020-09-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-28;18
Ongoing intensive care treatment periods;2020-09-28;4
Ongoing treatment periods at specialised medical care wards;2020-09-29;
Ongoing treatment periods primary health care wards;2020-09-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-29;18
Ongoing intensive care treatment periods;2020-09-29;4
Ongoing treatment periods at specialised medical care wards;2020-09-30;
Ongoing treatment periods primary health care wards;2020-09-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-09-30;15
Ongoing intensive care treatment periods;2020-09-30;4
Ongoing treatment periods at specialised medical care wards;2020-10-01;
Ongoing treatment periods primary health care wards;2020-10-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-01;15
Ongoing intensive care treatment periods;2020-10-01;4
Ongoing treatment periods at specialised medical care wards;2020-10-02;
Ongoing treatment periods primary health care wards;2020-10-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-02;17
Ongoing intensive care treatment periods;2020-10-02;4
Ongoing treatment periods at specialised medical care wards;2020-10-03;
Ongoing treatment periods primary health care wards;2020-10-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-03;17
Ongoing intensive care treatment periods;2020-10-03;4
Ongoing treatment periods at specialised medical care wards;2020-10-04;
Ongoing treatment periods primary health care wards;2020-10-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-04;17
Ongoing intensive care treatment periods;2020-10-04;4
Ongoing treatment periods at specialised medical care wards;2020-10-05;
Ongoing treatment periods primary health care wards;2020-10-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-05;20
Ongoing intensive care treatment periods;2020-10-05;8
Ongoing treatment periods at specialised medical care wards;2020-10-06;
Ongoing treatment periods primary health care wards;2020-10-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-06;20
Ongoing intensive care treatment periods;2020-10-06;8
Ongoing treatment periods at specialised medical care wards;2020-10-07;
Ongoing treatment periods primary health care wards;2020-10-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-07;26
Ongoing intensive care treatment periods;2020-10-07;5
Ongoing treatment periods at specialised medical care wards;2020-10-08;
Ongoing treatment periods primary health care wards;2020-10-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-08;26
Ongoing intensive care treatment periods;2020-10-08;5
Ongoing treatment periods at specialised medical care wards;2020-10-09;
Ongoing treatment periods primary health care wards;2020-10-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-09;32
Ongoing intensive care treatment periods;2020-10-09;5
Ongoing treatment periods at specialised medical care wards;2020-10-10;
Ongoing treatment periods primary health care wards;2020-10-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-10;32
Ongoing intensive care treatment periods;2020-10-10;5
Ongoing treatment periods at specialised medical care wards;2020-10-11;
Ongoing treatment periods primary health care wards;2020-10-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-11;32
Ongoing intensive care treatment periods;2020-10-11;5
Ongoing treatment periods at specialised medical care wards;2020-10-12;
Ongoing treatment periods primary health care wards;2020-10-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-12;36
Ongoing intensive care treatment periods;2020-10-12;10
Ongoing treatment periods at specialised medical care wards;2020-10-13;
Ongoing treatment periods primary health care wards;2020-10-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-13;36
Ongoing intensive care treatment periods;2020-10-13;10
Ongoing treatment periods at specialised medical care wards;2020-10-14;
Ongoing treatment periods primary health care wards;2020-10-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-14;40
Ongoing intensive care treatment periods;2020-10-14;8
Ongoing treatment periods at specialised medical care wards;2020-10-15;
Ongoing treatment periods primary health care wards;2020-10-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-15;40
Ongoing intensive care treatment periods;2020-10-15;8
Ongoing treatment periods at specialised medical care wards;2020-10-16;
Ongoing treatment periods primary health care wards;2020-10-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-16;50
Ongoing intensive care treatment periods;2020-10-16;6
Ongoing treatment periods at specialised medical care wards;2020-10-17;
Ongoing treatment periods primary health care wards;2020-10-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-17;50
Ongoing intensive care treatment periods;2020-10-17;6
Ongoing treatment periods at specialised medical care wards;2020-10-18;
Ongoing treatment periods primary health care wards;2020-10-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-18;50
Ongoing intensive care treatment periods;2020-10-18;6
Ongoing treatment periods at specialised medical care wards;2020-10-19;
Ongoing treatment periods primary health care wards;2020-10-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-19;55
Ongoing intensive care treatment periods;2020-10-19;7
Ongoing treatment periods at specialised medical care wards;2020-10-20;
Ongoing treatment periods primary health care wards;2020-10-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-20;55
Ongoing intensive care treatment periods;2020-10-20;7
Ongoing treatment periods at specialised medical care wards;2020-10-21;
Ongoing treatment periods primary health care wards;2020-10-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-21;58
Ongoing intensive care treatment periods;2020-10-21;7
Ongoing treatment periods at specialised medical care wards;2020-10-22;
Ongoing treatment periods primary health care wards;2020-10-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-22;58
Ongoing intensive care treatment periods;2020-10-22;7
Ongoing treatment periods at specialised medical care wards;2020-10-23;
Ongoing treatment periods primary health care wards;2020-10-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-23;59
Ongoing intensive care treatment periods;2020-10-23;11
Ongoing treatment periods at specialised medical care wards;2020-10-24;
Ongoing treatment periods primary health care wards;2020-10-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-24;59
Ongoing intensive care treatment periods;2020-10-24;11
Ongoing treatment periods at specialised medical care wards;2020-10-25;
Ongoing treatment periods primary health care wards;2020-10-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-25;59
Ongoing intensive care treatment periods;2020-10-25;11
Ongoing treatment periods at specialised medical care wards;2020-10-26;
Ongoing treatment periods primary health care wards;2020-10-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-26;59
Ongoing intensive care treatment periods;2020-10-26;11
Ongoing treatment periods at specialised medical care wards;2020-10-27;
Ongoing treatment periods primary health care wards;2020-10-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-27;64
Ongoing intensive care treatment periods;2020-10-27;10
Ongoing treatment periods at specialised medical care wards;2020-10-28;
Ongoing treatment periods primary health care wards;2020-10-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-28;55
Ongoing intensive care treatment periods;2020-10-28;10
Ongoing treatment periods at specialised medical care wards;2020-10-29;
Ongoing treatment periods primary health care wards;2020-10-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-29;55
Ongoing intensive care treatment periods;2020-10-29;10
Ongoing treatment periods at specialised medical care wards;2020-10-30;
Ongoing treatment periods primary health care wards;2020-10-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-30;48
Ongoing intensive care treatment periods;2020-10-30;10
Ongoing treatment periods at specialised medical care wards;2020-10-31;
Ongoing treatment periods primary health care wards;2020-10-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-10-31;48
Ongoing intensive care treatment periods;2020-10-31;10
Ongoing treatment periods at specialised medical care wards;2020-11-01;
Ongoing treatment periods primary health care wards;2020-11-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-01;48
Ongoing intensive care treatment periods;2020-11-01;10
Ongoing treatment periods at specialised medical care wards;2020-11-02;
Ongoing treatment periods primary health care wards;2020-11-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-02;57
Ongoing intensive care treatment periods;2020-11-02;13
Ongoing treatment periods at specialised medical care wards;2020-11-03;
Ongoing treatment periods primary health care wards;2020-11-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-03;57
Ongoing intensive care treatment periods;2020-11-03;13
Ongoing treatment periods at specialised medical care wards;2020-11-04;
Ongoing treatment periods primary health care wards;2020-11-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-04;50
Ongoing intensive care treatment periods;2020-11-04;15
Ongoing treatment periods at specialised medical care wards;2020-11-05;
Ongoing treatment periods primary health care wards;2020-11-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-05;50
Ongoing intensive care treatment periods;2020-11-05;15
Ongoing treatment periods at specialised medical care wards;2020-11-06;
Ongoing treatment periods primary health care wards;2020-11-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-06;55
Ongoing intensive care treatment periods;2020-11-06;13
Ongoing treatment periods at specialised medical care wards;2020-11-07;
Ongoing treatment periods primary health care wards;2020-11-07;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-07;55
Ongoing intensive care treatment periods;2020-11-07;13
Ongoing treatment periods at specialised medical care wards;2020-11-08;
Ongoing treatment periods primary health care wards;2020-11-08;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-08;55
Ongoing intensive care treatment periods;2020-11-08;13
Ongoing treatment periods at specialised medical care wards;2020-11-09;
Ongoing treatment periods primary health care wards;2020-11-09;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-09;73
Ongoing intensive care treatment periods;2020-11-09;13
Ongoing treatment periods at specialised medical care wards;2020-11-10;
Ongoing treatment periods primary health care wards;2020-11-10;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-10;73
Ongoing intensive care treatment periods;2020-11-10;13
Ongoing treatment periods at specialised medical care wards;2020-11-11;
Ongoing treatment periods primary health care wards;2020-11-11;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-11;59
Ongoing intensive care treatment periods;2020-11-11;14
Ongoing treatment periods at specialised medical care wards;2020-11-12;
Ongoing treatment periods primary health care wards;2020-11-12;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-12;59
Ongoing intensive care treatment periods;2020-11-12;14
Ongoing treatment periods at specialised medical care wards;2020-11-13;
Ongoing treatment periods primary health care wards;2020-11-13;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-13;58
Ongoing intensive care treatment periods;2020-11-13;15
Ongoing treatment periods at specialised medical care wards;2020-11-14;
Ongoing treatment periods primary health care wards;2020-11-14;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-14;56
Ongoing intensive care treatment periods;2020-11-14;15
Ongoing treatment periods at specialised medical care wards;2020-11-15;
Ongoing treatment periods primary health care wards;2020-11-15;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-15;56
Ongoing intensive care treatment periods;2020-11-15;15
Ongoing treatment periods at specialised medical care wards;2020-11-16;
Ongoing treatment periods primary health care wards;2020-11-16;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-16;67
Ongoing intensive care treatment periods;2020-11-16;13
Ongoing treatment periods at specialised medical care wards;2020-11-17;
Ongoing treatment periods primary health care wards;2020-11-17;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-17;67
Ongoing intensive care treatment periods;2020-11-17;13
Ongoing treatment periods at specialised medical care wards;2020-11-18;
Ongoing treatment periods primary health care wards;2020-11-18;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-18;80
Ongoing intensive care treatment periods;2020-11-18;12
Ongoing treatment periods at specialised medical care wards;2020-11-19;
Ongoing treatment periods primary health care wards;2020-11-19;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-19;80
Ongoing intensive care treatment periods;2020-11-19;12
Ongoing treatment periods at specialised medical care wards;2020-11-20;
Ongoing treatment periods primary health care wards;2020-11-20;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-20;94
Ongoing intensive care treatment periods;2020-11-20;10
Ongoing treatment periods at specialised medical care wards;2020-11-21;
Ongoing treatment periods primary health care wards;2020-11-21;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-21;94
Ongoing intensive care treatment periods;2020-11-21;10
Ongoing treatment periods at specialised medical care wards;2020-11-22;
Ongoing treatment periods primary health care wards;2020-11-22;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-22;94
Ongoing intensive care treatment periods;2020-11-22;10
Ongoing treatment periods at specialised medical care wards;2020-11-23;
Ongoing treatment periods primary health care wards;2020-11-23;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-23;108
Ongoing intensive care treatment periods;2020-11-23;15
Ongoing treatment periods at specialised medical care wards;2020-11-24;
Ongoing treatment periods primary health care wards;2020-11-24;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-24;107
Ongoing intensive care treatment periods;2020-11-24;15
Ongoing treatment periods at specialised medical care wards;2020-11-25;
Ongoing treatment periods primary health care wards;2020-11-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-25;113
Ongoing intensive care treatment periods;2020-11-25;21
Ongoing treatment periods at specialised medical care wards;2020-11-26;
Ongoing treatment periods primary health care wards;2020-11-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-26;114
Ongoing intensive care treatment periods;2020-11-26;21
Ongoing treatment periods at specialised medical care wards;2020-11-27;
Ongoing treatment periods primary health care wards;2020-11-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-27;133
Ongoing intensive care treatment periods;2020-11-27;19
Ongoing treatment periods at specialised medical care wards;2020-11-28;
Ongoing treatment periods primary health care wards;2020-11-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-28;133
Ongoing intensive care treatment periods;2020-11-28;19
Ongoing treatment periods at specialised medical care wards;2020-11-29;
Ongoing treatment periods primary health care wards;2020-11-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-29;133
Ongoing intensive care treatment periods;2020-11-29;19
Ongoing treatment periods at specialised medical care wards;2020-11-30;
Ongoing treatment periods primary health care wards;2020-11-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-11-30;162
Ongoing intensive care treatment periods;2020-11-30;18
Ongoing treatment periods at specialised medical care wards;2020-12-01;
Ongoing treatment periods primary health care wards;2020-12-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-01;162
Ongoing intensive care treatment periods;2020-12-01;17
Ongoing treatment periods at specialised medical care wards;2020-12-02;
Ongoing treatment periods primary health care wards;2020-12-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-02;144
Ongoing intensive care treatment periods;2020-12-02;21
Ongoing treatment periods at specialised medical care wards;2020-12-03;
Ongoing treatment periods primary health care wards;2020-12-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-03;149
Ongoing intensive care treatment periods;2020-12-03;23
Ongoing treatment periods at specialised medical care wards;2020-12-04;
Ongoing treatment periods primary health care wards;2020-12-04;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-04;120
Ongoing intensive care treatment periods;2020-12-04;21
Ongoing treatment periods at specialised medical care wards;2020-12-05;
Ongoing treatment periods primary health care wards;2020-12-05;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-05;124
Ongoing intensive care treatment periods;2020-12-05;20
Ongoing treatment periods at specialised medical care wards;2020-12-06;
Ongoing treatment periods primary health care wards;2020-12-06;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-06;122
Ongoing intensive care treatment periods;2020-12-06;20
Ongoing treatment periods at specialised medical care wards;2020-12-07;129
Ongoing treatment periods primary health care wards;2020-12-07;64
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-07;
Ongoing intensive care treatment periods;2020-12-07;30
Ongoing treatment periods at specialised medical care wards;2020-12-08;128
Ongoing treatment periods primary health care wards;2020-12-08;83
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-08;
Ongoing intensive care treatment periods;2020-12-08;28
Ongoing treatment periods at specialised medical care wards;2020-12-09;129
Ongoing treatment periods primary health care wards;2020-12-09;77
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-09;
Ongoing intensive care treatment periods;2020-12-09;27
Ongoing treatment periods at specialised medical care wards;2020-12-10;141
Ongoing treatment periods primary health care wards;2020-12-10;78
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-10;
Ongoing intensive care treatment periods;2020-12-10;25
Ongoing treatment periods at specialised medical care wards;2020-12-11;131
Ongoing treatment periods primary health care wards;2020-12-11;83
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-11;
Ongoing intensive care treatment periods;2020-12-11;26
Ongoing treatment periods at specialised medical care wards;2020-12-12;127
Ongoing treatment periods primary health care wards;2020-12-12;83
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-12;
Ongoing intensive care treatment periods;2020-12-12;26
Ongoing treatment periods at specialised medical care wards;2020-12-13;127
Ongoing treatment periods primary health care wards;2020-12-13;84
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-13;
Ongoing intensive care treatment periods;2020-12-13;27
Ongoing treatment periods at specialised medical care wards;2020-12-14;127
Ongoing treatment periods primary health care wards;2020-12-14;121
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-14;
Ongoing intensive care treatment periods;2020-12-14;28
Ongoing treatment periods at specialised medical care wards;2020-12-15;113
Ongoing treatment periods primary health care wards;2020-12-15;136
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-15;
Ongoing intensive care treatment periods;2020-12-15;35
Ongoing treatment periods at specialised medical care wards;2020-12-16;103
Ongoing treatment periods primary health care wards;2020-12-16;131
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-16;
Ongoing intensive care treatment periods;2020-12-16;34
Ongoing treatment periods at specialised medical care wards;2020-12-17;103
Ongoing treatment periods primary health care wards;2020-12-17;133
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-17;
Ongoing intensive care treatment periods;2020-12-17;27
Ongoing treatment periods at specialised medical care wards;2020-12-18;92
Ongoing treatment periods primary health care wards;2020-12-18;142
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-18;
Ongoing intensive care treatment periods;2020-12-18;30
Ongoing treatment periods at specialised medical care wards;2020-12-19;90
Ongoing treatment periods primary health care wards;2020-12-19;141
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-19;
Ongoing intensive care treatment periods;2020-12-19;30
Ongoing treatment periods at specialised medical care wards;2020-12-20;92
Ongoing treatment periods primary health care wards;2020-12-20;143
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-20;
Ongoing intensive care treatment periods;2020-12-20;28
Ongoing treatment periods at specialised medical care wards;2020-12-21;101
Ongoing treatment periods primary health care wards;2020-12-21;147
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-21;
Ongoing intensive care treatment periods;2020-12-21;33
Ongoing treatment periods at specialised medical care wards;2020-12-22;104
Ongoing treatment periods primary health care wards;2020-12-22;141
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-22;
Ongoing intensive care treatment periods;2020-12-22;28
Ongoing treatment periods at specialised medical care wards;2020-12-23;97
Ongoing treatment periods primary health care wards;2020-12-23;135
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-23;
Ongoing intensive care treatment periods;2020-12-23;26
Ongoing treatment periods at specialised medical care wards;2020-12-24;93
Ongoing treatment periods primary health care wards;2020-12-24;135
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-24;
Ongoing intensive care treatment periods;2020-12-24;24
Ongoing treatment periods at specialised medical care wards;2020-12-25;94
Ongoing treatment periods primary health care wards;2020-12-25;124
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-25;
Ongoing intensive care treatment periods;2020-12-25;26
Ongoing treatment periods at specialised medical care wards;2020-12-26;92
Ongoing treatment periods primary health care wards;2020-12-26;124
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-26;
Ongoing intensive care treatment periods;2020-12-26;26
Ongoing treatment periods at specialised medical care wards;2020-12-27;94
Ongoing treatment periods primary health care wards;2020-12-27;124
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-27;
Ongoing intensive care treatment periods;2020-12-27;26
Ongoing treatment periods at specialised medical care wards;2020-12-28;92
Ongoing treatment periods primary health care wards;2020-12-28;113
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-28;
Ongoing intensive care treatment periods;2020-12-28;29
Ongoing treatment periods at specialised medical care wards;2020-12-29;69
Ongoing treatment periods primary health care wards;2020-12-29;110
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-29;
Ongoing intensive care treatment periods;2020-12-29;42
Ongoing treatment periods at specialised medical care wards;2020-12-30;83
Ongoing treatment periods primary health care wards;2020-12-30;98
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-30;
Ongoing intensive care treatment periods;2020-12-30;30
Ongoing treatment periods at specialised medical care wards;2020-12-31;74
Ongoing treatment periods primary health care wards;2020-12-31;92
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-12-31;
Ongoing intensive care treatment periods;2020-12-31;27
Ongoing treatment periods at specialised medical care wards;2021-01-01;74
Ongoing treatment periods primary health care wards;2021-01-01;91
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-01;
Ongoing intensive care treatment periods;2021-01-01;25
Ongoing treatment periods at specialised medical care wards;2021-01-02;76
Ongoing treatment periods primary health care wards;2021-01-02;92
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-02;
Ongoing intensive care treatment periods;2021-01-02;26
Ongoing treatment periods at specialised medical care wards;2021-01-03;76
Ongoing treatment periods primary health care wards;2021-01-03;92
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-03;
Ongoing intensive care treatment periods;2021-01-03;26
Ongoing treatment periods at specialised medical care wards;2021-01-04;97
Ongoing treatment periods primary health care wards;2021-01-04;89
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-04;
Ongoing intensive care treatment periods;2021-01-04;28
Ongoing treatment periods at specialised medical care wards;2021-01-05;90
Ongoing treatment periods primary health care wards;2021-01-05;73
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-05;
Ongoing intensive care treatment periods;2021-01-05;25
Ongoing treatment periods at specialised medical care wards;2021-01-06;93
Ongoing treatment periods primary health care wards;2021-01-06;74
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-06;
Ongoing intensive care treatment periods;2021-01-06;25
Ongoing treatment periods at specialised medical care wards;2021-01-07;85
Ongoing treatment periods primary health care wards;2021-01-07;69
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-07;
Ongoing intensive care treatment periods;2021-01-07;32
Ongoing treatment periods at specialised medical care wards;2021-01-08;80
Ongoing treatment periods primary health care wards;2021-01-08;64
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-08;
Ongoing intensive care treatment periods;2021-01-08;31
Ongoing treatment periods at specialised medical care wards;2021-01-09;80
Ongoing treatment periods primary health care wards;2021-01-09;61
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-09;
Ongoing intensive care treatment periods;2021-01-09;31
Ongoing treatment periods at specialised medical care wards;2021-01-10;82
Ongoing treatment periods primary health care wards;2021-01-10;61
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-10;
Ongoing intensive care treatment periods;2021-01-10;30
Ongoing treatment periods at specialised medical care wards;2021-01-11;77
Ongoing treatment periods primary health care wards;2021-01-11;54
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-11;
Ongoing intensive care treatment periods;2021-01-11;32
Ongoing treatment periods at specialised medical care wards;2021-01-12;81
Ongoing treatment periods primary health care wards;2021-01-12;47
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-12;
Ongoing intensive care treatment periods;2021-01-12;30
Ongoing treatment periods at specialised medical care wards;2021-01-13;72
Ongoing treatment periods primary health care wards;2021-01-13;52
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-13;
Ongoing intensive care treatment periods;2021-01-13;29
Ongoing treatment periods at specialised medical care wards;2021-01-14;71
Ongoing treatment periods primary health care wards;2021-01-14;55
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-14;
Ongoing intensive care treatment periods;2021-01-14;29
Ongoing treatment periods at specialised medical care wards;2021-01-15;60
Ongoing treatment periods primary health care wards;2021-01-15;57
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-15;
Ongoing intensive care treatment periods;2021-01-15;28
Ongoing treatment periods at specialised medical care wards;2021-01-16;60
Ongoing treatment periods primary health care wards;2021-01-16;57
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-16;
Ongoing intensive care treatment periods;2021-01-16;28
Ongoing treatment periods at specialised medical care wards;2021-01-17;60
Ongoing treatment periods primary health care wards;2021-01-17;57
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-17;
Ongoing intensive care treatment periods;2021-01-17;28
Ongoing treatment periods at specialised medical care wards;2021-01-18;72
Ongoing treatment periods primary health care wards;2021-01-18;48
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-18;
Ongoing intensive care treatment periods;2021-01-18;27
Ongoing treatment periods at specialised medical care wards;2021-01-19;62
Ongoing treatment periods primary health care wards;2021-01-19;55
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-19;
Ongoing intensive care treatment periods;2021-01-19;24
Ongoing treatment periods at specialised medical care wards;2021-01-20;63
Ongoing treatment periods primary health care wards;2021-01-20;56
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2021-01-20;
Ongoing intensive care treatment periods;2021-01-20;26
Ongoing treatment periods at specialised medical care wards;2021-01-21;67
Ongoing treatment periods primary health care wards;2021-01-21;57
